filename,reference,hypothesis,sample_wer_%,sample_cer_%
P-024_Pro_266.wav,These are my clothes.,These are my clothes.,0.0,0.0
P-024_Pro_269.wav,Go there.,Go there.,0.0,0.0
P-024_Pro_270.wav,Put it over there.,Put it over there.,0.0,0.0
P-024_Pro_277.wav,We will meet later.,We will meet later.,0.0,0.0
P-024_Ref_124.wav,I like myself.,I like myself.,0.0,0.0
P-024_Ref_135.wav,She spoke to herself quietly.,She spoke to herself quietly.,0.0,0.0
P-024_Ref_141.wav,He blamed himself for the mistake.,They prepared themselves for the exam.,66.67,55.88
P-024_Ref_143.wav,The machine stopped by itself.,The machine stopped by itself.,0.0,0.0
P-024_Ref_146.wav,The children dressed themselves.,The children dressed themselves.,0.0,0.0
P-024_Ref_147.wav,She protected herself from the cold.,She protected herself from the cold.,0.0,0.0
P-024_Ref_148.wav,They helped each other during the storm.,They helped each other during the storm.,0.0,0.0
P-024_Simple_12a.wav,He (right here) saw that they are playing with a stone.,He (right here) saw that they are playing with a stone.,0.0,0.0
P-024_Simple_14.wav,I want to go to the town tonight.,I want to go to the town tonight.,0.0,0.0
P-024_Simple_16.wav,He (right here) tried to feed the elephant.,He (right here) tried to feed the elephant.,0.0,0.0
P-024_Simple_19.wav,"If it rains a lot, the plants will grow better.","If it rains a lot, the plants will grow better.",0.0,0.0
P-024_Simple_20.wav,I will play with my brother.,I will play with my brother.,0.0,0.0
P-024_Simple_24.wav,We stayed inside because it was cold.,We stayed inside because it was cold.,0.0,0.0
P-024_Simple_30.wav,I will call you if I need help.,I will call you if I need help.,0.0,0.0
P-024_Simple_6.wav,I have a headache.,I have a headache.,0.0,0.0
P-024_Simple_7a.wav,She (right here) saw a man.,She (right here) saw a man.,0.0,0.0
P-024_Simple_8a.wav,He (right here) met a new teacher at school.,He (right here) met a new teacher at school.,0.0,0.0
P-024_TAM_70.wav,I will not walk to school.,I will not walk to school.,0.0,0.0
P-024_TAM_80.wav,They are not walking today.,They are not walking today.,0.0,0.0
P-024_TAM_81.wav,They walked to the river this morning.,They walked to the river this morning.,0.0,0.0
P-024_TAM_86.wav,We used to walk together every evening.,We used to walk together every evening.,0.0,0.0
P-024_TAM_89.wav,He (not here) will have walked by the time we start.,He (not here) will have walked by the time we start.,0.0,0.0
P-024_Val_282.wav,He opened the door.,He opened the door.,0.0,0.0
P-024_Val_289.wav,The light turned off.,The light turned off.,0.0,0.0
P-024_Val_291.wav,The leaves fell.,The leaves fell.,0.0,0.0
P-024_Val_293.wav,The water boiled.,The water boiled.,0.0,0.0
P-024_Val_297.wav,He went.,He went.,0.0,0.0
P-024_Val_305.wav,She ate rice.,She ate rice.,0.0,0.0
P-024_Val_309.wav,The teacher spoke.,The teacher spoke.,0.0,0.0
P-028_Adp_406.wav,I am at home.,I am at home.,0.0,0.0
P-028_Adp_407.wav,She is in the room.,She is in the room.,0.0,0.0
P-028_Adp_412.wav,Put the bag on the table.,Put the bag on the table.,0.0,0.0
P-028_Adp_417.wav,They are sitting beside me.,They are sitting beside me.,0.0,0.0
P-028_Adp_419.wav,He ran to the house.,He ran to the house.,0.0,0.0
P-028_Adp_420.wav,They went to the market.,They went to the market.,0.0,0.0
P-028_Adp_424.wav,She arrived from the city.,She arrived from the city.,0.0,0.0
P-028_Case_60.wav,He came with his friend.,He came with his friend.,0.0,0.0
P-028_Case_64.wav,She cooked food for her brother.,She cooked food for her brother.,0.0,0.0
P-028_Cau_317.wav,I made the girl clean the room.,I made the girl clean the room.,0.0,0.0
P-028_Cau_320.wav,I made him break the glass.,I made him break the glass.,0.0,0.0
P-028_Cau_322.wav,The dog made the baby cry.,The dog made the baby cry.,0.0,0.0
P-028_Cau_329.wav,She made him wash the dishes.,She made him wash the dishes.,0.0,0.0
P-028_Cau_336.wav,The wind made the trees fall.,The wind made the trees fall.,0.0,0.0
P-028_Cau_337.wav,The doctor made me take medicine.,The doctor made me take medicine.,0.0,0.0
P-028_Cau_342.wav,The smell made me feel sick.,The smell made me feel sick.,0.0,0.0
P-028_Cls_188.wav,This is a wooden door.,This is a wooden door.,0.0,0.0
P-028_Cls_193.wav,I came by boat.,I came by boat.,0.0,0.0
P-028_Cls_196.wav,Do not beat the student with a stick.,The students shared their studies with the teacher.,87.5,78.38
P-028_Cls_199.wav,There are two books on the table.,There are two books on the table.,0.0,0.0
P-028_Cls_201.wav,Give me three long objects.,Give me three long objects.,0.0,0.0
P-028_Cls_204.wav,I need ten dresses.,I need ten dresses.,0.0,0.0
P-028_Cls_211.wav,The shop has many kinds of flowers.,The shop has many kinds of flowers.,0.0,0.0
P-028_Cls_213.wav,He broke two glass bottles.,He broke two glass bottles.,0.0,0.0
P-028_Imp_473.wav,Write your name.,Write your name.,0.0,0.0
P-028_Imp_474.wav,Open the door.,Open the door.,0.0,0.0
P-028_Imp_477.wav,Give me that book.,Give me that book.,0.0,0.0
P-028_Imp_496.wav,Bring the children inside.,Bring the children inside.,0.0,0.0
P-028_Imp_497.wav,Stop talking and listen.,Look at the situation.,100.0,75.0
P-028_Imp_500.wav,Bring me your notes tomorrow.,Give me your notes tomorrow.,20.0,13.79
P-028_Int_214.wav,What is your name?,What is your name?,0.0,0.0
P-028_Int_216.wav,Who is coming with you?,Who is coming with you?,0.0,0.0
P-028_Int_219.wav,How did you fall?,How did you fall?,0.0,0.0
P-028_Int_227.wav,What did she say?,What did she say?,0.0,0.0
P-028_Int_230.wav,Do you have money?,Do you have money?,0.0,0.0
P-028_Int_231.wav,Who are you waiting for?,Who are you waiting for?,0.0,0.0
P-028_Int_233.wav,How long will you stay here?,How long will you stay here?,0.0,0.0
P-028_Int_243.wav,What do you want to buy?,What do you want to buy?,0.0,0.0
P-028_Int_351.wav,Did they finish the work?,Did they finish the work?,0.0,0.0
P-028_Int_367.wav,Do they have enough food?,Do they have enough food?,0.0,0.0
P-028_Int_373.wav,Don’t they know the truth?,Don’t they know the truth?,0.0,0.0
P-028_Int_374.wav,How many children came today?,How many children came today?,0.0,0.0
P-028_Neg_100.wav,I didn’t eat yesterday.,I didn’t eat yesterday.,0.0,0.0
P-028_Neg_105.wav,They are not here.,They are not here.,0.0,0.0
P-028_Neg_106.wav,I am not hungry.,I am not hungry.,0.0,0.0
P-028_Neg_107.wav,I do not know.,I do not know.,0.0,0.0
P-028_Neg_116.wav,Nothing can be done about his illness.,Nothing can be done about his illness.,0.0,0.0
P-028_Neg_118.wav,Ali is nowhere in the village.,Ali is nowhere in the village.,0.0,0.0
P-028_Neg_120.wav,None of the children came.,None of the children came.,0.0,0.0
P-028_Neg_95.wav,There is no water in the river.,There is no water in the river.,0.0,0.0
P-028_Neg_98.wav,We will not upset you.,We will not eat you.,20.0,18.18
P-028_Pas_437.wav,The door was opened by the boy.,The door was opened by the boy.,0.0,0.0
P-028_Pas_438.wav,The food was cooked.,The food was cooked.,0.0,0.0
P-028_Pas_442.wav,The letter was written.,The letter was written.,0.0,0.0
P-028_Pas_449.wav,The room will be cleaned soon.,The room will be cleaned soon.,0.0,0.0
P-028_Pas_453.wav,Many people were helped.,Many people were helped.,0.0,0.0
P-028_Pas_457.wav,The door will be painted tomorrow.,The door will be painted tomorrow.,0.0,0.0
P-028_Pas_458.wav,The plan was changed at the last minute.,The game was lost at the last moment.,37.5,40.0
P-028_Pas_462.wav,The thief was caught by the police.,The thief was caught by the police.,0.0,0.0
P-028_Pos_377.wav,She has a new phone.,She has a new phone.,0.0,0.0
P-028_Pos_397.wav,Their shop has fresh bread.,Their shop has fresh bread.,0.0,0.0
P-028_Pos_398.wav,The river has clear water.,The river has clear water.,0.0,0.0
P-028_Pos_401.wav,My brother has a bicycle.,My brother has a bicycle.,0.0,0.0
P-028_Pro_259.wav,She talked about herself.,She talked about herself.,0.0,0.0
P-028_Pro_263.wav,This belongs to her.,This belongs to her.,0.0,0.0
P-028_Pro_270.wav,Put it over there.,Put it over there.,0.0,0.0
P-028_Pro_273.wav,The school is far from here.,The school is far from here.,0.0,0.0
P-028_Pro_275.wav,She will go tomorrow.,She will go tomorrow.,0.0,0.0
P-028_Pro_278.wav,They already left.,They already left.,0.0,0.0
P-028_Pro_279.wav,Tomorrow we will go.,Tomorrow we will go.,0.0,0.0
P-028_Pro_280.wav,Here put it.,Here put it.,0.0,0.0
P-028_Ref_126.wav,You cooked rice yourself.,You cooked rice yourself.,0.0,0.0
P-028_Ref_133.wav,We met each other.,We met each other.,0.0,0.0
P-028_Ref_147.wav,She protected herself from the cold.,She protected herself from the cold.,0.0,0.0
P-028_Ref_152.wav,The students shared their books with each other.,The students shared their books with each other.,0.0,0.0
P-028_Simple_18.wav,I will go when my mother comes.,I will go when my mother comes.,0.0,0.0
P-028_Simple_26.wav,I told him (not here) that she is my sister.,I told him (not here) that she is my sister.,0.0,0.0
P-028_Simple_27.wav,She (right here) thinks that he (not here) will come tomorrow.,She (right here) thinks that he (not here) will come tomorrow.,0.0,0.0
P-028_Simple_29.wav,"Although it was late, they (not here) kept working.","Although it was late, they (not here) kept working.",0.0,0.0
P-028_Simple_3.wav,That house is big.,That house is big.,0.0,0.0
P-028_Simple_6.wav,I have a headache.,I have a headache.,0.0,0.0
P-028_Simple_8a.wav,He (right here) met a new teacher at school.,He (right here) met a new teacher at school.,0.0,0.0
P-028_TAM_77.wav,She goes to the market daily.,She goes to the market daily.,0.0,0.0
P-028_TAM_79.wav,She will walk home after sunset.,She will walk home after sunset.,0.0,0.0
P-028_TAM_80.wav,They are not walking today.,They are not walking today.,0.0,0.0
P-028_TAM_85.wav,I was not walking when you called me.,I was not walking when you called me.,0.0,0.0
P-028_TAM_88.wav,They had walked far before it started raining.,They had walked far before it started raining.,0.0,0.0
P-028_Val_291.wav,The leaves fell.,The leaves fell.,0.0,0.0
P-028_Val_292.wav,The boy fell.,The boy fell.,0.0,0.0
P-028_Val_293.wav,The water boiled.,The water boiled.,0.0,0.0
P-028_Val_296.wav,The man ran.,The man ran.,0.0,0.0
P-028_Val_297.wav,He went.,He went.,0.0,0.0
P-028_Val_302.wav,They burned the firewood.,They burned the firewood.,0.0,0.0
P-028_Val_307.wav,He swam.,He swam.,0.0,0.0
P-028_Val_313.wav,The ball rolled.,The ball rolled.,0.0,0.0
P-029_Case_31.wav,He (not here) kicked the ball.,He (not here) kicked the ball.,0.0,0.0
P-029_Simple_1.wav,I like mangoes.,I like mangoes.,0.0,0.0
P-029_Simple_6.wav,I have a headache.,I have a headache.,0.0,0.0
P-029_Simple_7a.wav,She (right here) saw a man.,She (right here) saw a man.,0.0,0.0
P-029_TAM_65.wav,I am walking to field now.,I will not drink alcohol.,83.33,73.08
P-032_Adp_418.wav,She walked to the river.,She walked to the river.,0.0,0.0
P-032_Adp_425.wav,I will go with my friend.,I will go with my friend.,0.0,0.0
P-032_Adp_429.wav,The school is far from here.,The school is far from here.,0.0,0.0
P-032_Adp_430.wav,She stood between the two boys.,She stood between the two boys.,0.0,0.0
P-032_Adp_431.wav,We walked through the forest.,We walked through the forest.,0.0,0.0
P-032_Adp_435.wav,He put the cup on top of the shelf.,He put the cup on top of the shelf.,0.0,0.0
P-032_Case_35.wav,Ayesha loves her.,Ayesha loves her.,0.0,0.0
P-032_Case_36.wav,They (not here) love us.,They (not here) love us.,0.0,0.0
P-032_Case_39.wav,Ahmed gave a flower to his wife.,Ahmed gave a flower to his wife.,0.0,0.0
P-032_Case_40.wav,Father bought a toy for his son.,Father bought a toy for his son.,0.0,0.0
P-032_Case_41.wav,He is working only for his family.,He is working only for his family.,0.0,0.0
P-032_Case_46.wav,My sister is in school.,My sister is in school.,0.0,0.0
P-032_Case_53.wav,Leaves are falling down from the tree.,Leaves are falling down from the tree.,0.0,0.0
P-032_Case_54.wav,He will go to Hunza tomorrow.,He will go to Hunza tomorrow.,0.0,0.0
P-032_Case_58.wav,Ali went with Ahmed.,Ali went with Ahmed.,0.0,0.0
P-032_Cau_320.wav,I made him break the glass.,I made him break the glass.,0.0,0.0
P-032_Cau_323.wav,The house was burnt by the thieves.,The house was burnt by the thieves.,0.0,0.0
P-032_Cau_328.wav,They made me wait outside.,They made me wait outside.,0.0,0.0
P-032_Cau_333.wav,The rain made the road muddy.,The rain made the road muddy.,0.0,0.0
P-032_Cau_335.wav,The loud noise made the birds fly away.,The loud noise made the birds fly away.,0.0,0.0
P-032_Cau_338.wav,She made them tell the truth.,She made them tell the truth.,0.0,0.0
P-032_Cls_189.wav,We need an electric wire.,We need an electric wire.,0.0,0.0
P-032_Cls_190.wav,This log of wood is thick.,This log of wood is thick.,0.0,0.0
P-032_Cls_191.wav,This is a door.,This is a door.,0.0,0.0
P-032_Cls_198.wav,Go and buy some ripe fruits.,Go and buy some ripe fruits.,0.0,0.0
P-032_Cls_204.wav,I need ten dresses.,I need ten dresses.,0.0,0.0
P-032_Cls_213.wav,He broke two glass bottles.,He broke two glass bottles.,0.0,0.0
P-032_ECV_159.wav,He fell down.,He fell down.,0.0,0.0
P-032_ECV_161.wav,She called me.,She called me.,0.0,0.0
P-032_ECV_163.wav,Go and see.,Go and see.,0.0,0.0
P-032_ECV_169.wav,"He came, sat, ate and went away.","He came, sat, ate and went away.",0.0,0.0
P-032_ECV_170.wav,"Simra sang, danced, and entertained the guests.","Simra sang, danced, and entertained the guests.",0.0,0.0
P-032_ECV_171.wav,Finish your work and come home.,Finish your work and come home.,0.0,0.0
P-032_ECV_175.wav,Wash your hands before eating.,The food will be cooked by the cooks.,160.0,93.33
P-032_ECV_180.wav,He looked at me and smiled.,He looked at me and smiled.,0.0,0.0
P-032_Imp_466.wav,Come here.,Come here.,0.0,0.0
P-032_Imp_468.wav,Sit down.,Sit down.,0.0,0.0
P-032_Imp_469.wav,Stand up.,Stand up.,0.0,0.0
P-032_Imp_470.wav,Listen to me.,Listen to me.,0.0,0.0
P-032_Imp_482.wav,Do not touch that.,Do not touch that.,0.0,0.0
P-032_Imp_483.wav,Do not speak loudly.,Do not speak loudly.,0.0,0.0
P-032_Imp_489.wav,Eat and sleep.,Eat and sleep.,0.0,0.0
P-032_Imp_493.wav,Let them come inside.,Let them come inside.,0.0,0.0
P-032_Imp_497.wav,Stop talking and listen.,Close the door when leaving.,125.0,83.33
P-032_Int_216.wav,Who is coming with you?,Who is coming with you?,0.0,0.0
P-032_Int_219.wav,How did you fall?,How did you fall?,0.0,0.0
P-032_Int_220.wav,Which book do you want?,Which book do you want?,0.0,0.0
P-032_Int_223.wav,Can you help me?,Can you help me?,0.0,0.0
P-032_Int_224.wav,Will he come tomorrow?,Will he come tomorrow?,0.0,0.0
P-032_Int_238.wav,Who will help us tomorrow?,Who will help us tomorrow?,0.0,0.0
P-032_Int_242.wav,Will you walk with me?,Will you walk with me?,0.0,0.0
P-032_Int_243.wav,What do you want to buy?,What do you want to buy?,0.0,0.0
P-032_Int_348.wav,When will she arrive?,When will she arrive?,0.0,0.0
P-032_Int_350.wav,How did he fix it?,How did he fix it?,0.0,0.0
P-032_Int_352.wav,Will she stay here?,Will he stay here?,25.0,5.26
P-032_Int_369.wav,Should we go now?,Should we go now?,0.0,0.0
P-032_Neg_117.wav,Nobody saw me.,Nobody saw me.,0.0,0.0
P-032_Neg_118.wav,Ali is nowhere in the village.,Ali is nowhere in the village.,0.0,0.0
P-032_Neg_120.wav,None of the children came.,None of the children came.,0.0,0.0
P-032_Neg_94a.wav,He (right here) is not a teacher.,He (right here) is not a teacher.,0.0,0.0
P-032_Neg_94b.wav,He (not here) is not a teacher.,He (not here) is not a teacher.,0.0,0.0
P-032_Neg_94d.wav,She (not here) is not a teacher.,She (not here) is not a teacher.,0.0,0.0
P-032_Neg_95.wav,There is no water in the river.,The river has no water.,100.0,61.29
P-032_Pas_439.wav,The food was cooked by her.,The food was cooked by her.,0.0,0.0
P-032_Pas_450.wav,The work will be finished by tomorrow.,The work will be finished by tomorrow.,0.0,0.0
P-032_Pos_384.wav,They have no money.,They have no money.,0.0,0.0
P-032_Pos_387.wav,I have an illness.,I have an illness.,0.0,0.0
P-032_Pro_245.wav,You are late.,You are late.,0.0,0.0
P-032_Pro_246.wav,She is sleeping.,She is sleeping.,0.0,0.0
P-032_Pro_257.wav,I hurt myself.,I hurt myself.,0.0,0.0
P-032_Pro_263.wav,This belongs to her.,This belongs to her.,0.0,0.0
P-032_Pro_270.wav,Put it over there.,Put it over there.,0.0,0.0
P-032_Pro_271.wav,Leave it over there.,Leave it over there.,0.0,0.0
P-032_Pro_275.wav,She will go tomorrow.,She will go tomorrow.,0.0,0.0
P-032_Pro_276.wav,I will start now.,I will start now.,0.0,0.0
P-032_Pro_278.wav,They already left.,They already left.,0.0,0.0
P-032_Pro_280.wav,Here put it.,Here put it.,0.0,0.0
P-032_Ref_124.wav,I like myself.,I made myself at home.,133.33,78.57
P-032_Ref_135.wav,She spoke to herself quietly.,She spoke to herself quietly.,0.0,0.0
P-032_Ref_139.wav,The cat cleaned itself.,The cat cleaned itself.,0.0,0.0
P-032_Ref_140.wav,She taught herself to read.,She taught herself to read.,0.0,0.0
P-032_Simple_17.wav,It was raining so I could not go to the field.,It was raining so I could not go to the field.,0.0,0.0
P-032_Simple_19.wav,"If it rains a lot, the plants will grow better.","If it rains a lot, the plants will grow better.",0.0,0.0
P-032_Simple_23b.wav,They (not here) are eating because they are hungry.,They (not here) are eating because they are hungry.,0.0,0.0
P-032_Simple_25.wav,He (right here) will study after he reaches home.,He (right here) will study after he reaches home.,0.0,0.0
P-032_Simple_27.wav,She (right here) thinks that he (not here) will come tomorrow.,She (right here) thinks that he (not here) will come tomorrow.,0.0,0.0
P-032_Simple_28.wav,We waited until the bus arrived.,We waited until the bus arrived.,0.0,0.0
P-032_Simple_29.wav,"Although it was late, they (not here) kept working.","Although it was late, they (not here) kept working.",0.0,0.0
P-032_TAM_75.wav,You walk to school daily.,You walk to school daily.,0.0,0.0
P-032_TAM_76.wav,You walked to town yesterday.,You walked to town yesterday.,0.0,0.0
P-032_TAM_77.wav,She goes to the market daily.,She goes to the market daily.,0.0,0.0
P-032_TAM_83.wav,You should not walk at night.,You should not walk at night.,0.0,0.0
P-032_TAM_89.wav,He (not here) will have walked by the time we start.,He (not here) will have walked by the time we start.,0.0,0.0
P-032_TAM_91.wav,"If it rains, we will walk later.","If it rains, we will walk later.",0.0,0.0
P-032_Val_287.wav,The food cooked.,The food cooked.,0.0,0.0
P-032_Val_295.wav,The ice melted.,The ice melted.,0.0,0.0
P-032_Val_296.wav,The man ran.,The man ran.,0.0,0.0
P-032_Val_305.wav,She ate rice.,She ate rice.,0.0,0.0
P-032_Val_308.wav,He swam in the lake.,He swam in the lake.,0.0,0.0
P-032_Val_310.wav,The teacher spoke to the class.,The teacher spoke to the class.,0.0,0.0
P-033_Adp_409.wav,The dog is under the table.,The dog is under the table.,0.0,0.0
P-033_Adp_410.wav,The book is on the chair.,The book is on the table.,16.67,20.0
P-033_Adp_421.wav,She came from the mountain.,He came yesterday.,80.0,59.26
P-033_Adp_423.wav,The water flows from the pipe.,The water flows from the pipe.,0.0,0.0
P-033_Adp_425.wav,I will go with my friend.,I will go with my friend.,0.0,0.0
P-033_Adp_429.wav,The school is far from here.,The school is far from here.,0.0,0.0
P-033_Adp_433.wav,The store is across the road.,The shop is across the road.,16.67,10.34
P-033_Adp_434.wav,The teacher stood in front of the class.,The teacher stood in front of the class.,0.0,0.0
P-033_Case_37.wav,Yesterday they (not here) caught the thief.,Yesterday they (not here) caught the thief.,0.0,0.0
P-033_Case_51.wav,My sister is in school.,My sister is in school.,0.0,0.0
P-033_Case_55.wav,He is in the house.,He is in the house.,0.0,0.0
P-033_Cau_321.wav,Aqsa made him food.,Aqsa made him food.,0.0,0.0
P-033_Cau_330.wav,The parents made the boy study.,The parents made the boy study.,0.0,0.0
P-033_Cls_193.wav,I came by boat.,I came by boat.,0.0,0.0
P-033_Cls_195.wav,We built the house with stones.,We built the house with stones.,0.0,0.0
P-033_Cls_197.wav,Tie them with a rope.,Tie them with a rope.,0.0,0.0
P-033_Cls_199.wav,There are two books on the table.,There are two books on the table.,0.0,0.0
P-033_Cls_202.wav,Give me one apple.,Give me one apple.,0.0,0.0
P-033_Cls_203.wav,I have five cars.,I have five cars.,0.0,0.0
P-033_Cls_204.wav,I need ten dresses.,I need ten dresses.,0.0,0.0
P-033_Cls_206.wav,Bring two cups of water.,Bring two cups of water.,0.0,0.0
P-033_Cls_207.wav,He bought three pieces of cloth.,He bought three pieces of cloth.,0.0,0.0
P-033_Cls_213.wav,He broke two glass bottles.,He broke two glass bottles.,0.0,0.0
P-033_ECV_156.wav,He died.,He died.,0.0,0.0
P-033_ECV_160.wav,He cleaned up the room.,He cleaned up the room.,0.0,0.0
P-033_ECV_161.wav,She called me.,He called me.,33.33,14.29
P-033_ECV_162.wav,He blessed us.,He blessed us.,0.0,0.0
P-033_ECV_165.wav,Sleep after eating.,Sleep after eating.,0.0,0.0
P-033_ECV_166.wav,"Having eaten this food, he went to sleep.","Having eaten this food, he went to sleep.",0.0,0.0
P-033_ECV_172.wav,"He stood up, picked the bag, and left.","He stood up, picked the bag, and left.",0.0,0.0
P-033_ECV_173.wav,She cooked food and served the children.,She cooked food and served the children.,0.0,0.0
P-033_ECV_174.wav,They shouted and clapped.,They shouted and clapped.,0.0,0.0
P-033_ECV_178.wav,We came to help you.,We came to help you.,0.0,0.0
P-033_Imp_467.wav,Go there.,Go there.,0.0,0.0
P-033_Imp_469.wav,Stand up.,Stand up.,0.0,0.0
P-033_Imp_485.wav,Do not open the door.,Do not open the door.,0.0,0.0
P-033_Imp_488.wav,Come and help me.,Come and help me.,0.0,0.0
P-033_Imp_492.wav,Please help the children.,Please help the children.,0.0,0.0
P-033_Int_349.wav,Why are you crying?,Why are you crying?,0.0,0.0
P-033_Int_353.wav,Do you trust him?,Do you trust him?,0.0,0.0
P-033_Int_359.wav,Whom did she meet there?,Whom did she meet there?,0.0,0.0
P-033_Int_364.wav,Where did he put the books?,Where did he put the books?,0.0,0.0
P-033_Int_371.wav,Why didn’t you tell me?,Why didn’t you tell me?,0.0,0.0
P-033_Int_374.wav,How many children came today?,How many children came today?,0.0,0.0
P-033_Neg_101.wav,They have finished their job.,They have finished their job.,0.0,0.0
P-033_Neg_102.wav,I have not eaten.,I have not eaten.,0.0,0.0
P-033_Neg_103.wav,I had not eaten yet.,I had not eaten yet.,0.0,0.0
P-033_Neg_104.wav,He left without informing anyone.,He left without informing anyone.,0.0,0.0
P-033_Neg_107.wav,I do not know.,I do not know.,0.0,0.0
P-033_Neg_108.wav,Do not enter.,Do not enter.,0.0,0.0
P-033_Neg_112.wav,I don’t think he will come.,I think he will not come.,33.33,37.04
P-033_Neg_115.wav,I don’t see her anymore.,I don’t see her anymore.,0.0,0.0
P-033_Neg_94c.wav,She (right here) is not a teacher.,She (right here) is not a teacher.,0.0,0.0
P-033_Neg_96.wav,He cannot sing.,He cannot sing.,0.0,0.0
P-033_Pas_439.wav,The food was cooked by her.,The food was cooked by her.,0.0,0.0
P-033_Pas_444.wav,The car was repaired yesterday.,The car was repaired yesterday.,0.0,0.0
P-033_Pas_446.wav,The glass was broken.,The glass was broken.,0.0,0.0
P-033_Pas_460.wav,The meeting was canceled.,The meeting was canceled.,0.0,0.0
P-033_Pas_462.wav,The thief was caught by the police.,The thief was caught by the police.,0.0,0.0
P-033_Pos_377.wav,She has a new phone.,She has a new phone.,0.0,0.0
P-033_Pos_394.wav,The bag has five pockets.,The bag has five pockets.,0.0,0.0
P-033_Pos_401.wav,My brother has a bicycle.,My brother has a bicycle.,0.0,0.0
P-033_Pos_402.wav,Her child has a toy.,Her child has a toy.,0.0,0.0
P-033_Pos_403.wav,The farmer has two cows.,The farmer has two cows.,0.0,0.0
P-033_Pos_404.wav,I have work to do today.,I have work to do today.,0.0,0.0
P-033_Pos_405.wav,They have everything they need.,They have everything they need.,0.0,0.0
P-033_Pro_255.wav,That is your book.,That is your book.,0.0,0.0
P-033_Pro_262.wav,They came from him.,They came from his house.,50.0,36.84
P-033_Pro_269.wav,Go there.,Go there.,0.0,0.0
P-033_Pro_272.wav,They live near here.,They live near here.,0.0,0.0
P-033_Ref_125.wav,We saw ourselves in the mirror.,We saw ourselves in the mirror.,0.0,0.0
P-033_Ref_130.wav,They told me about themselves.,They told me about themselves.,0.0,0.0
P-033_Ref_131.wav,The door opened by itself.,The door opened by itself.,0.0,0.0
P-033_Ref_134.wav,They follow each other.,They follow each other.,0.0,0.0
P-033_Ref_140.wav,She taught herself to read.,She taught herself to read.,0.0,0.0
P-033_Ref_141.wav,He blamed himself for the mistake.,They prepared themselves for the exam.,66.67,55.88
P-033_Ref_145.wav,We cooked dinner by ourselves.,We cooked dinner by ourselves.,0.0,0.0
P-033_Ref_146.wav,The children dressed themselves.,The children dressed themselves.,0.0,0.0
P-033_Ref_149.wav,We listened to each other carefully.,We listened to each other carefully.,0.0,0.0
P-033_Simple_17.wav,It was raining so I could not go to the field.,It was raining so I could not go to the field.,0.0,0.0
P-033_Simple_25.wav,He (right here) will study after he reaches home.,He (right here) will study after he reaches home.,0.0,0.0
P-033_Simple_26.wav,I told him (not here) that she is my sister.,I told him (not here) that she is my sister.,0.0,0.0
P-033_Simple_4.wav,I am Ali.,I am Ali.,0.0,0.0
P-033_Simple_5b.wav,Her (not here) name is Fatima.,Her (not here) name is Fatima.,0.0,0.0
P-033_Simple_7a.wav,She (right here) saw a man.,She (right here) saw a man.,0.0,0.0
P-033_TAM_65.wav,I am walking to field now.,I am walking to field now.,0.0,0.0
P-033_TAM_67.wav,I fell down when she pushed me.,I fell down when she pushed me.,0.0,0.0
P-033_TAM_72b.wav,We are headed to the market now.,We are headed to the market now.,0.0,0.0
P-033_TAM_73.wav,We walk to school daily.,We walk to school daily.,0.0,0.0
P-033_TAM_80.wav,They are not walking today.,They are not walking today.,0.0,0.0
P-033_TAM_83.wav,You should not walk at night.,You should not walk at night.,0.0,0.0
P-033_TAM_86.wav,We used to walk together every evening.,We used to walk together every day.,14.29,17.95
P-033_TAM_89.wav,He (not here) will have walked by the time we start.,He (not here) will have walked by the time we start.,0.0,0.0
P-033_TAM_91.wav,"If it rains, we will walk later.","If it rains, we will walk later.",0.0,0.0
P-033_Val_285.wav,The pot broke.,The knife broke.,33.33,35.71
P-033_Val_286.wav,He broke the pot.,He broke the pot.,0.0,0.0
P-033_Val_295.wav,The ice melted.,The ice melted.,0.0,0.0
P-033_Val_299.wav,The baby cried.,The baby cried.,0.0,0.0
P-033_Val_304.wav,The teacher made the boy sit and study.,The teacher made the boy sit and study.,0.0,0.0
P-033_Val_305.wav,She ate rice.,She ate rice.,0.0,0.0
P-033_Val_308.wav,He swam in the lake.,He swam in the lake.,0.0,0.0
P-033_Val_313.wav,The ball rolled.,The ball rolled.,0.0,0.0
P-038_Simple_3.wav,That house is big.,That house is big.,0.0,0.0
P-038_Simple_4.wav,I am Ali.,I am Ali.,0.0,0.0
P-038_Simple_7b.wav,She (not here) saw a man.,She (not here) saw a man.,0.0,0.0
P-038_Simple_8b.wav,He (not here) met a new teacher at school.,He (not here) met a new teacher at school.,0.0,0.0
P-038_Simple_9.wav,It is raining.,I have a fever.,133.33,85.71
P-047_Simple_29.wav,"Although it was late, they (not here) kept working.","Although it was late, they (not here) kept working.",0.0,0.0
P-047_Simple_3.wav,That house is big.,That house is big.,0.0,0.0
P-051_Adp_406.wav,I am at home.,I am at home.,0.0,0.0
P-051_Adp_408.wav,They are on the roof.,They are on the roof.,0.0,0.0
P-051_Adp_414.wav,The children are inside the school.,The children are inside.,50.0,31.43
P-051_Adp_424.wav,She arrived from the city.,She arrived from the city.,0.0,0.0
P-051_Adp_435.wav,He put the cup on top of the shelf.,He put the cup on top of the shelf.,0.0,0.0
P-051_Case_33.wav,The boy broke the pot.,The boy broke the pot.,0.0,0.0
